date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2019-05-17,TQQQ_Full_35_20_45,TQQQ,24,insurance,CLOSE,put,-1.0,5.0,2019-07-19,84,7.355,0.13286965249444238,0.12286965249444239,0.1428696524944424,0.1428696524944424,0.829264000072873,-0.0960296537565355,-1200.1050809533162,-138.60000000000008,138.60000000000008,INSURANCE_PARTIAL_MONETIZATION,,
2019-06-10,TQQQ_Full_35_20_45,TQQQ,24,insurance,CLOSE,put,1.0,6.5,2019-07-19,28,7.2775,0.3677968566545493,0.35492396667164006,0.38066974663745856,0.35492396667164006,0.7757635198177244,-0.2802976993198323,993.7871066805923,-54.24409195214591,54.24409195214591,INSURANCE_RECOVERY_EXIT,,
2019-06-10,TQQQ_Full_35_20_45,TQQQ,24,insurance,CLOSE,put,-1.0,5.0,2019-07-19,28,7.2775,0.11294599664479055,0.10294599664479055,0.12294599664479054,0.12294599664479054,0.982480667955682,-0.09062387740501443,-344.24879060541355,-46.19999999999999,46.19999999999999,INSURANCE_RECOVERY_EXIT,,
2019-06-18,TQQQ_Full_35_20_45,TQQQ,23,cash_secured_put,CLOSE,put,-1.0,7.0,2019-06-21,245,7.6525,0.012449720141590737,0.0024497201415907364,0.02244972014159074,0.02244972014159074,0.6530127245587422,-0.06201315374501304,-550.018143468973,-404.25000000000006,404.25000000000006,CSP_PROFIT_TARGET,,
2019-08-14,TQQQ_Full_35_20_45,TQQQ,25,cash_secured_put,OPEN,put,-1.0,5.5,2019-09-20,78,7.0762,0.23615466217893677,0.22615466217893676,0.24615466217893678,0.22615466217893676,0.9973570592889958,-0.1688522091999991,1764.0063649957067,-128.70000000000007,128.70000000000007,CONDITIONAL_ENTRY_CSP,,
2019-09-04,TQQQ_Full_35_20_45,TQQQ,25,cash_secured_put,CLOSE,put,-1.0,5.5,2019-09-20,78,7.65,0.028600837811432078,0.018600837811432076,0.03860083781143208,0.03860083781143208,0.9709488069711635,-0.041902400873865986,-301.0865349291702,-128.70000000000002,128.70000000000002,CSP_PROFIT_TARGET,,
2019-09-26,TQQQ_Full_35_20_45,TQQQ,26,cash_secured_put,OPEN,put,-1.0,6.5,2019-11-15,274,7.7862,0.291212041452914,0.28101962000206204,0.301404462903766,0.28101962000206204,0.7395824407566509,-0.21014612406490796,7699.937588056499,-457.3723477533441,457.3723477533441,CONDITIONAL_ENTRY_CSP,,
2019-10-02,TQQQ_Full_35_20_45,TQQQ,27,insurance,OPEN,put,1.0,6.0,2019-12-20,21,7.1325,0.5078158053124584,0.49004225212652236,0.5255893584983945,0.5255893584983945,0.8118301036725932,-0.2555693196866514,-1103.7376528466284,-50.9744616904658,50.9744616904658,RISK_WARNING_INSURANCE_ENTRY,,
2019-10-02,TQQQ_Full_35_20_45,TQQQ,27,insurance,OPEN,put,-1.0,4.5,2019-12-20,21,7.1325,0.22774077677315407,0.21774077677315407,0.23774077677315408,0.21774077677315407,1.0186657988758017,-0.1117747919752885,457.25563122362354,-34.65000000000002,34.65000000000002,RISK_WARNING_INSURANCE_ENTRY,,
2019-10-16,TQQQ_Full_35_20_45,TQQQ,27,insurance,CLOSE,put,1.0,6.0,2019-12-20,21,8.1788,0.22706158297764945,0.21706158297764944,0.23706158297764945,0.21706158297764944,0.8041599935904181,-0.13756808523770303,455.8293242530638,-34.65000000000002,34.65000000000002,INSURANCE_RECOVERY_EXIT,,
2019-10-16,TQQQ_Full_35_20_45,TQQQ,27,insurance,CLOSE,put,-1.0,4.5,2019-12-20,21,8.1788,0.0745443672460972,0.0645443672460972,0.0845443672460972,0.0845443672460972,0.9622241139344769,-0.04630928039950999,-177.5431712168041,-34.64999999999999,34.64999999999999,INSURANCE_RECOVERY_EXIT,,
2019-10-24,TQQQ_Full_35_20_45,TQQQ,26,cash_secured_put,CLOSE,put,-1.0,6.5,2019-11-15,274,8.2888,0.038294598336020336,0.028294598336020334,0.04829459833602034,0.04829459833602034,0.6770749811980871,-0.06038230369968722,-1323.2719944069572,-452.1,452.1,CSP_PROFIT_TARGET,,
